Email Security 10.0 Release Notes,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-10-0-release-notes.pdf,,169,Email Security,email-security,tech-docs-category,These release notes provide information about the SonicWall Email Security 10.0 release including new features and resolved issues. ,Email Security,Email Security (on-premises),Email Security 10.0 Release Notes,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-10-0-release-notes/"">Email Security 10.0 Release Notes</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-10-0-release-notes.pdf"">Email Security 10.0 Release Notes</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-10-0-release-notes.pdf,email-security-10-0-release-notes,,,,,,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,,Joe,Converted,Mapped,
Email Security 9.1 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-administration-guide.pdf,34565,169,Email Security,email-security,tech-docs-category,"This guide provides information about configuring and using the different features for all facets of the SonicWall Email Security product including on‐premise appliances, virtual appliances, and hosted appliances.",Email Security,Email Security (on-premises),Email Security 9.1 Administration Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-administration-guide/"">Email Security 9.1 Administration Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-administration-guide.pdf"">Email Security 9.1 Administration Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-administration-guide.pdf,email-security-9-1-administration-guide,Admin Guide,,,,34565,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,,Joe,Converted,Mapped,
Email Security 9.1 Guia do usuário,https://techdocs.sonicwall.com/wp-content/uploads/pdf/emailsecurity-9-1-userguide-ptb.pdf,165301,169,Email Security,email-security,tech-docs-category,,Email Security,Email Security (on-premises),,,,,,,,,,,,,,,,,,,,,not Found,
Email Security 9.1 Guía para el usuario,https://techdocs.sonicwall.com/wp-content/uploads/pdf/emailsecurity-9-1-userguide-spa.pdf,165171,169,Email Security,email-security,tech-docs-category,,Email Security,"Email Security (on-premises), Hosted Email Security",,,,,,,,,,,,,,,,,,,,,not Found,
Email Security 9.1 Guide de l'utilisateur,https://techdocs.sonicwall.com/wp-content/uploads/pdf/emailsecurity-9-1-userguide-fre.pdf,165048,169,Email Security,email-security,tech-docs-category,,Firewalls,(all categories but SonicOS),,,,,,,,,,,,,,,,,,,,,not Found,
Email Security 9.1 Handbuch,https://techdocs.sonicwall.com/wp-content/uploads/pdf/emailsecurity-9-1-userguide-deu.pdf,165390,169,Email Security,email-security,tech-docs-category,,Email Security,"Email Security (on-premises), Hosted Email Security",,,,,,,,,,,,,,,,,,,,,not Found,
Email Security 9.1 User Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-user-guide.pdf,34155,169,Email Security,email-security,tech-docs-category,"This document provides instructions for basic configuration for users of the SonicWall Email Security product, including Email Security appliances, the Email Security Virtual Appliance, and Email Security Software.",Secure Remote Access,VPN Client,Email Security 9.1 User Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-user-guide/"">Email Security 9.1 User Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-user-guide.pdf"">Email Security 9.1 User Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-user-guide.pdf,email-security-9-1-user-guide,User Guide,,,,34155,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,,Joe,Converted,Mapped,
Email Security 9.1 ユーザ ガイド,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-user-guide-jp.pdf,165632,169,Email Security,email-security,tech-docs-category,,Secure Remote Access,VPN Client,,,,,,,,,,,,,,,,,,,,,not Found,
Email Security 9.1 사용 설명서,https://techdocs.sonicwall.com/wp-content/uploads/pdf/emailsecurity-9-1-userguide-kor.pdf,164923,169,Email Security,email-security,tech-docs-category,,Firewall Management and Analytics,CSC Firewall Management,,,,,,,,,,,,,,,,,,,,,not Found,
Email Security 9.1 用户指南,https://techdocs.sonicwall.com/wp-content/uploads/pdf/emailsecurity-9-1-userguide-zhc.pdf,164799,169,Email Security,email-security,tech-docs-category,,Firewall Management and Analytics,Analytics,,,,,,,,,,,,,,,,,,,,,not Found,
Email Security API Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-api-reference.pdf,,169,Email Security,email-security,tech-docs-category,This API reference guide describes the features and functions of SonicWall Email Security and the RESTful (Representational State Transfer) process. ,Firewall Management and Analytics,"CSC Firewall Management, Analytics",Email Security API Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-api-reference/"">Email Security API Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-api-reference.pdf"">Email Security API Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-api-reference.pdf,email-security-api-reference,API Reference,,,,,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,,Joe,Converted,Mapped,
Email Security Appliance 5000/7000/9000 Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/guide-getting-started-esa-5000-7000-9000-snwl.pdf,,169,Email Security,email-security,tech-docs-category,"This Getting Started Guide provides instructions for basic installation and configuration of the SonicWall ESA 5000, SonicWall ESA 7000, and SonicWall ESA 9000.",Firewall Management and Analytics,"CSC Firewall Management, Analytics",Email Security Appliance 5000/7000/9000 Getting Started Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/guide-getting-started-esa-5000-7000-9000-snwl/"">Email Security Appliance 5000/7000/9000 Getting Started Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/guide-getting-started-esa-5000-7000-9000-snwl.pdf"">Email Security Appliance 5000/7000/9000 Getting Started Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/guide-getting-started-esa-5000-7000-9000-snwl.pdf,guide-getting-started-esa-5000-7000-9000-snwl,Quick Start Guide,,,,,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,File name is changed but OK,Joe,Converted,Mapped,
Enforced Client Policy & Reporting Server 1.0 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/enforced-client-policy-reporting-server-1-0-admi.pdf,135322,164,AntiVirus Client,antivirus-client,tech-docs-category,,Firewall Management and Analytics,"CSC Firewall Management, Analytics",,,,,,,,,,,,,,,,,,,,,not Found,
Enforced Client Policy and Reporting Server 2.3 Admin Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/enforced-client-policy-and-reporting-server-2-3-ad.pdf,135126,164,AntiVirus Client,antivirus-client,tech-docs-category,,Firewall Management and Analytics,GMS (on-premises),,,,,,,,,,,,,,,,,,,,,not Found,
EnforcedClientAntiVirus 1.9 Kaspersky Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/kaspersky-getting-started-guide.pdf,110894,164,AntiVirus Client,antivirus-client,tech-docs-category,,Firewall Management and Analytics,GMS (on-premises),,,,,,,,,,,,,,,,,,,,,not Found,
ES 9.2 Managed Service Provider Deployment Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-managed-service-provider-deploy.pdf,111306,169,Email Security,email-security,tech-docs-category,This deployment guide provides information and procedures for Managed Service Providers to deploy the Email Security product as a service.,Firewall Management and Analytics,GMS (on-premises),ES 9.2 Managed Service Provider Deployment Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-managed-service-provider-deploy/"">ES 9.2 Managed Service Provider Deployment Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-managed-service-provider-deploy.pdf"">ES 9.2 Managed Service Provider Deployment Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-managed-service-provider-deploy.pdf,email-security-9-2-managed-service-provider-deploy,Deployment,,,,111306,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,,Joe,Converted,Mapped,
ES 9.2 Software Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-software-getting-started-guide.pdf,111188,169,Email Security,email-security,tech-docs-category,This Getting Started Guide contains installation procedures and configuration guidelines for installing the SonicWall Email Security 9.2 Software on your network.,Firewall Management and Analytics,GMS (on-premises),ES 9.2 Software Getting Started Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-software-getting-started-guide/"">ES 9.2 Software Getting Started Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-software-getting-started-guide.pdf"">ES 9.2 Software Getting Started Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-software-getting-started-guide.pdf,email-security-9-2-software-getting-started-guide,Quick Start Guide,,,,111188,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,,Joe,Converted,Mapped,
ES 9.2 Virtual Appliance Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-virtual-appliance-getting-start.pdf,111026,169,Email Security,email-security,tech-docs-category,This Getting Started Guide contains installation procedures and configuration guidelines for deploying the SonicWall® Email Security 9.2 Virtual Appliance on a server on your network.,Firewall Management and Analytics,GMS (on-premises),ES 9.2 Virtual Appliance Getting Started Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-virtual-appliance-getting-start/"">ES 9.2 Virtual Appliance Getting Started Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-virtual-appliance-getting-start.pdf"">ES 9.2 Virtual Appliance Getting Started Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-virtual-appliance-getting-start.pdf,email-security-9-2-virtual-appliance-getting-start,Quick Start Guide,,,,111026,169,Email Security,Cloud Security,English,email-security,tech-docs-category,Yes,,Joe,Converted,Mapped,
Flexible Storage Module Installation Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/flexible-storage-module-installation-guide.pdf,,320,NSa Series,nsa-series-1,tech-docs-category,This document provides instructions for removing and installing the Flexible Storage Module in your NSa appliance.,Firewall Management and Analytics,GMS (on-premises),Flexible Storage Module Installation Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/flexible-storage-module-installation-guide/"">Flexible Storage Module Installation Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/flexible-storage-module-installation-guide.pdf"">Flexible Storage Module Installation Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/flexible-storage-module-installation-guide.pdf,flexible-storage-module-installation-guide,Installation Guide,,,,,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,Yes,,Joe,Converted,Mapped,
"Getting Started with Management, Reports, and Analytics",https://techdocs.sonicwall.com/wp-content/uploads/pdf/getting-started-with-management-reports-and-analytics.pdf,,181,GMS,gms,tech-docs-category,"This Getting Started document helps you rapidly deploy one or more firewalls and to quickly configure necessary protection to get started. It covers the basic management functionality, as well as options for live and scheduled reporting options.",Firewall Management and Analytics,GMS (on-premises),"Getting Started with Management, Reports, and Analytics","<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/getting-started-with-management-reports-and-analytics/"">Getting Started with Management, Reports, and Analytics</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/getting-started-with-management-reports-and-analytics.pdf"">Getting Started with Management, Reports, and Analytics</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/getting-started-with-management-reports-and-analytics.pdf,getting-started-with-management-reports-and-analytics,Quick Start Guide,,"analytics, reporting",,,181,GMS,Firewalls,English,gms,tech-docs-category,Yes,,Joe,Converted,Mapped,
Global VPN Client 4.10 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-admin-guide.pdf,61337,179,Global VPN Client,global-vpn-client,tech-docs-category,"The SonicWall Global VPN Client Administration Guide provides complete documentation on installing, configuring, and managing the SonicWall Global VPN Client. This guide also provides instructions for SonicWall Global VPN Client Enterprise.",Firewall Management and Analytics,GMS (on-premises),Global VPN Client 4.10 Administration Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-admin-guide/"">Global VPN Client 4.10 Administration Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-admin-guide.pdf"">Global VPN Client 4.10 Administration Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-admin-guide.pdf,global-vpn-client-4-10-admin-guide,Admin Guide,,vpn,YES,61337,179,Global VPN Client,Firewalls,English,global-vpn-client,tech-docs-category,Yes,,Joe,Converted,Mapped,
Global VPN Client 4.10 Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-getting-started-guide.pdf,111526,179,Global VPN Client,global-vpn-client,tech-docs-category,"The SonicWall Global VPN Client Administration Guide provides complete documentation on installing, configuring, and managing the SonicWall Global VPN Client. This guide also provides instructions for SonicWall Global VPN Client Enterprise.",Firewall Management and Analytics,GMS (on-premises),Global VPN Client 4.10 Getting Started Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-getting-started-guide/"">Global VPN Client 4.10 Getting Started Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-getting-started-guide.pdf"">Global VPN Client 4.10 Getting Started Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/global-vpn-client-4-10-getting-started-guide.pdf,global-vpn-client-4-10-getting-started-guide,Quick Start Guide,,vpn,YES,111526,179,Global VPN Client,Firewalls,English,global-vpn-client,tech-docs-category,Yes,,Joe,Converted,Mapped,
